dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp;Cumulative_number_for_14_days_of;daily_hosp_occ;daily_icu_occ
31Dec2019;31;12;2019;0;0;Austria;AT;AUT;8858775;Europe;;;
31Dec2019;31;12;2019;0;0;Belgium;BE;BEL;11455519;Europe;;;
31Dec2019;31;12;2019;0;0;Denmark;DK;DNK;5806081;Europe;;;
31Dec2019;31;12;2019;0;0;Estonia;EE;EST;1324820;Europe;;;
31Dec2019;31;12;2019;0;0;Finland;FI;FIN;5517919;Europe;;;
31Dec2019;31;12;2019;0;0;France;FR;FRA;67012883;Europe;;;
31Dec2019;31;12;2019;0;0;Ireland;IE;IRL;4904240;Europe;;;
31Dec2019;31;12;2019;0;0;Luxembourg;LU;LUX;613894;Europe;;;
31Dec2019;31;12;2019;0;0;Netherlands;NL;NLD;17282163;Europe;;;
31Dec2019;31;12;2019;0;0;Spain;ES;ESP;46937060;Europe;;;
31Dec2019;31;12;2019;0;0;Sweden;SE;SWE;10230185;Europe;;;
01Jan2020;1;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
01Jan2020;1;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
01Jan2020;1;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
01Jan2020;1;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
01Jan2020;1;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
01Jan2020;1;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
01Jan2020;1;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
01Jan2020;1;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
01Jan2020;1;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
01Jan2020;1;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
01Jan2020;1;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
02Jan2020;2;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
02Jan2020;2;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
02Jan2020;2;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
02Jan2020;2;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
02Jan2020;2;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
02Jan2020;2;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
02Jan2020;2;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
02Jan2020;2;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
02Jan2020;2;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
02Jan2020;2;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
02Jan2020;2;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
03Jan2020;3;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
03Jan2020;3;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
03Jan2020;3;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
03Jan2020;3;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
03Jan2020;3;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
03Jan2020;3;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
03Jan2020;3;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
03Jan2020;3;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
03Jan2020;3;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
03Jan2020;3;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
03Jan2020;3;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
04Jan2020;4;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
04Jan2020;4;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
04Jan2020;4;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
04Jan2020;4;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
04Jan2020;4;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
04Jan2020;4;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
04Jan2020;4;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
04Jan2020;4;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
04Jan2020;4;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
04Jan2020;4;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
04Jan2020;4;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
05Jan2020;5;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
05Jan2020;5;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
